Operon,Length,Total_ratio,Deletions_ratio,Total_Fusions_ratio,Splits_ratio,Duplicates_ratio
astCADBE,5,-0.108,0.401,0.000,-0.698,0.016
atpIBEFHAGDC,9,-0.757,-0.085,0.000,-1.854,0.000
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,8,-0.331,-0.766,-0.700,0.075,-2.505
caiTABCDE,6,0.490,-0.024,0.000,0.765,0.952
casABCDE12,7,-0.759,-0.569,0.000,-0.670,0.000
dicB-ydfDE-insD-intQ,5,0.298,0.347,0.000,0.246,0.827
fecABCDE,5,0.647,0.377,2.484,0.681,0.968
fucPIKUR,5,0.161,0.783,0.000,-0.360,-0.878
gatYZABCD,6,-0.855,-1.327,0.000,-0.329,0.000
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,8,0.287,0.624,0.000,0.099,-1.348
glcDEFGBA,6,0.405,0.373,1.634,0.480,0.003
hcaEFCBD,5,0.565,0.124,0.000,0.796,1.210
hisLGDCBHAFI,9,-0.846,-2.235,0.000,-0.390,-0.515
hyaABCDEF,6,-0.567,0.060,0.000,-1.546,-0.860
hycABCDEFGHI,9,0.530,0.588,-0.712,0.255,1.082
hyfABCDEFGHIJR-focB,12,0.557,0.253,1.455,0.550,0.948
hypABCDE-fhlA,6,-0.034,0.060,0.000,0.045,-0.367
ivbL-ilvBN-uhpABC,6,0.093,-0.239,0.000,0.416,-0.017
livKHMGF,5,-0.348,0.158,0.000,-1.175,0.099
lptAB-rpoN-hpf-ptsN-yhbJ-npr,7,-0.080,0.131,0.000,-0.036,-2.372
lptD-surA-pdxA-rsmA-apaGH,6,-0.377,-0.735,0.000,0.108,0.000
lsrACDBFG-tam,7,0.576,0.890,0.995,0.095,0.727
mdtABCD-baeSR,6,0.254,-2.744,1.305,0.696,1.019
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp,8,-0.179,-0.044,0.000,-0.212,-0.685
nsrR-rnr-rlmB-yjfIJ,5,0.249,0.670,0.000,0.246,0.000
nuoABCEFGHIJKLMN,13,-0.990,-1.208,0.000,-1.492,0.266
paaABCDEFGHIJK,11,0.446,0.635,1.400,0.232,-0.655
pspABCDE,5,-0.619,0.060,0.000,-1.140,0.000
pstSCAB-phoU,5,-0.378,-0.153,0.000,-1.053,0.588
rbsDACBKR,6,0.255,0.347,0.484,0.141,0.501
rnc-era-recO-pdxJ-acpS,5,-0.278,-0.410,0.000,0.181,0.000
rplKAJL-rpoBC,6,-1.771,-3.496,0.330,-1.199,0.000
sdhCDAB-sucABCD,8,-0.431,-0.375,0.000,-0.289,-2.505
srlAEBD-gutM-srlR-gutQ,7,0.253,0.610,0.000,-0.111,0.085
ssuEADCB,5,0.310,0.871,0.000,-0.512,0.539
tdcABCDEFG,7,0.536,-0.307,0.000,0.939,0.778
thrS-infC-rpmI-rplT-pheMST-ihfA,8,-0.668,-1.193,0.000,-0.196,0.000
trpLEDCBA,6,-0.091,-2.368,0.000,0.170,1.144
ulaABCDEF,7,-0.892,-0.857,1.218,-1.363,-0.608
waaQGP-rfaS-waaBIJY-rfaZ-waaK,9,0.505,1.165,0.083,-0.755,-1.014
ybgIJKL-nei,5,0.043,-0.228,0.000,0.518,-1.253
yceD-rpmF-plsX-fabHDG-acpP-fabF,8,-0.528,-0.766,0.000,-0.289,-0.896
ydgK-rsxABCDGE-nth,8,-0.157,0.394,0.000,-0.719,0.000
ydhYVWXUT,6,0.349,0.907,0.000,-0.224,-0.454
yiaKLMNO-lyxK-sgbHUE,9,0.332,0.613,-0.413,0.134,-0.817
yjeFE-amiB-mutL-miaA-hfq-hflXKC,9,-0.267,-1.327,0.000,0.290,-1.840