Organism,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Caulobacter_crescentus,Escherichia_coli,Haemophilus_influenzae,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Yersinia_pestis
Bordetella_bronchiseptica,0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,2.5,4.0,3.0,4.0,3.0,3.5,4.0,4.0,3.0
Bordetella_parapertussis,3.5,0,3.5,4.0,1.5,3.0,3.0,3.0,3.0,3.5,3.0,3.5,2.0,3.5,2.5,3.5,2.5,3.0,3.5,3.5,2.5
Bordetella_pertussis,4.0,3.5,0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,2.5,4.0,3.0,4.0,3.0,3.5,4.0,4.0,3.0
Caulobacter_crescentus,4.5,4.0,4.5,0,2.5,4.0,4.0,4.0,4.0,4.5,4.0,4.5,3.0,4.5,3.5,4.5,3.5,4.0,4.5,4.5,3.5
Escherichia_coli,2.0,1.5,2.0,2.5,0,1.5,1.5,1.5,1.5,2.0,1.5,2.0,0.5,2.0,1.0,2.0,1.0,1.5,2.0,2.0,1.0
Haemophilus_influenzae,3.5,3.0,3.5,4.0,1.5,0,3.0,3.0,3.0,3.5,3.0,3.5,2.0,3.5,2.5,3.5,2.5,3.0,3.5,3.5,2.5
Nitrosomonas_europaea,3.5,3.0,3.5,4.0,1.5,3.0,0,3.0,3.0,3.5,3.0,3.5,2.0,3.5,2.5,3.5,2.5,3.0,3.5,3.5,2.5
Pasteurella_multocida,3.5,3.0,3.5,4.0,1.5,3.0,3.0,0,3.0,3.5,3.0,3.5,2.0,3.5,2.5,3.5,2.5,3.0,3.5,3.5,2.5
Pseudomonas_aeruginosa,3.5,3.0,3.5,4.0,1.5,3.0,3.0,3.0,0,3.5,3.0,3.5,2.0,3.5,2.5,3.5,2.5,3.0,3.5,3.5,2.5
Pseudomonas_putida,4.0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,0,3.5,4.0,2.5,4.0,3.0,4.0,3.0,3.5,4.0,4.0,3.0
Pseudomonas_syringae,3.5,3.0,3.5,4.0,1.5,3.0,3.0,3.0,3.0,3.5,0,3.5,2.0,3.5,2.5,3.5,2.5,3.0,3.5,3.5,2.5
Ralstonia_solanacearum,4.0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,0,2.5,4.0,3.0,4.0,3.0,3.5,4.0,4.0,3.0
Salmonella_enterica,2.5,2.0,2.5,3.0,0.5,2.0,2.0,2.0,2.0,2.5,2.0,2.5,0,2.5,1.5,2.5,1.5,2.0,2.5,2.5,1.5
Shewanella_oneidensis,4.0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,2.5,0,3.0,4.0,3.0,3.5,4.0,4.0,3.0
Shigella_flexneri,3.0,2.5,3.0,3.5,1.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,1.5,3.0,0,3.0,2.0,2.5,3.0,3.0,2.0
Vibrio_cholerae,4.0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,2.5,4.0,3.0,0,3.0,3.5,4.0,4.0,3.0
Vibrio_parahaemolyticus,3.0,2.5,3.0,3.5,1.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,1.5,3.0,2.0,3.0,0,2.5,3.0,3.0,2.0
Vibrio_vulnificus,3.5,3.0,3.5,4.0,1.5,3.0,3.0,3.0,3.0,3.5,3.0,3.5,2.0,3.5,2.5,3.5,2.5,0,3.5,3.5,2.5
Xanthomonas_axonopodis,4.0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,2.5,4.0,3.0,4.0,3.0,3.5,0,4.0,3.0
Xanthomonas_campestris,4.0,3.5,4.0,4.5,2.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,2.5,4.0,3.0,4.0,3.0,3.5,4.0,0,3.0
Yersinia_pestis,3.0,2.5,3.0,3.5,1.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,1.5,3.0,2.0,3.0,2.0,2.5,3.0,3.0,0