Organism,Bordetella_bronchiseptica,Bordetella_pertussis,Bradyrhizobium_japonicum,Escherichia_coli,Mesorhizobium_loti,Pasteurella_multocida,Pseudomonas_putida,Pseudomonas_syringae,Salmonella_enterica,Shigella_flexneri,Sinorhizobium_meliloti
Bordetella_bronchiseptica,0,9.0,9.0,4.5,6.0,5.5,9.0,7.5,4.5,5.0,7.5
Bordetella_pertussis,9.0,0,9.0,4.5,6.0,5.5,9.0,7.5,4.5,5.0,7.5
Bradyrhizobium_japonicum,9.0,9.0,0,4.5,6.0,5.5,9.0,7.5,4.5,5.0,7.5
Escherichia_coli,4.5,4.5,4.5,0,1.5,1.0,4.5,3.0,0.0,0.5,3.0
Mesorhizobium_loti,6.0,6.0,6.0,1.5,0,2.5,6.0,4.5,1.5,2.0,4.5
Pasteurella_multocida,5.5,5.5,5.5,1.0,2.5,0,5.5,4.0,1.0,1.5,4.0
Pseudomonas_putida,9.0,9.0,9.0,4.5,6.0,5.5,0,7.5,4.5,5.0,7.5
Pseudomonas_syringae,7.5,7.5,7.5,3.0,4.5,4.0,7.5,0,3.0,3.5,6.0
Salmonella_enterica,4.5,4.5,4.5,0.0,1.5,1.0,4.5,3.0,0,0.5,3.0
Shigella_flexneri,5.0,5.0,5.0,0.5,2.0,1.5,5.0,3.5,0.5,0,3.5
Sinorhizobium_meliloti,7.5,7.5,7.5,3.0,4.5,4.0,7.5,6.0,3.0,3.5,0