Organism,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Campylobacter_jejuni,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shigella_flexneri,Yersinia_pestis
Bordetella_bronchiseptica,0,3.0,3.5,2.5,3.0,4.5,1.5,3.0,3.0,3.0,3.0,2.5,2.0,2.5,3.0
Bordetella_parapertussis,3.0,0,3.5,2.5,3.0,4.5,1.5,3.0,3.0,3.0,3.0,2.5,2.0,2.5,3.0
Bordetella_pertussis,3.5,3.5,0,3.0,3.5,5.0,2.0,3.5,3.5,3.5,3.5,3.0,2.5,3.0,3.5
Bradyrhizobium_japonicum,2.5,2.5,3.0,0,2.5,4.0,1.0,2.5,2.5,2.5,2.5,2.0,1.5,2.0,2.5
Campylobacter_jejuni,3.0,3.0,3.5,2.5,0,4.5,1.5,3.0,3.0,3.0,3.0,2.5,2.0,2.5,3.0
Chromobacterium_violaceum,4.5,4.5,5.0,4.0,4.5,0,3.0,4.5,4.5,4.5,4.5,4.0,3.5,4.0,4.5
Escherichia_coli,1.5,1.5,2.0,1.0,1.5,3.0,0,1.5,1.5,1.5,1.5,1.0,0.5,1.0,1.5
Haemophilus_influenzae,3.0,3.0,3.5,2.5,3.0,4.5,1.5,0,3.0,3.0,3.0,2.5,2.0,2.5,3.0
Pseudomonas_aeruginosa,3.0,3.0,3.5,2.5,3.0,4.5,1.5,3.0,0,3.0,3.0,2.5,2.0,2.5,3.0
Pseudomonas_putida,3.0,3.0,3.5,2.5,3.0,4.5,1.5,3.0,3.0,0,3.0,2.5,2.0,2.5,3.0
Pseudomonas_syringae,3.0,3.0,3.5,2.5,3.0,4.5,1.5,3.0,3.0,3.0,0,2.5,2.0,2.5,3.0
Ralstonia_solanacearum,2.5,2.5,3.0,2.0,2.5,4.0,1.0,2.5,2.5,2.5,2.5,0,1.5,2.0,2.5
Salmonella_enterica,2.0,2.0,2.5,1.5,2.0,3.5,0.5,2.0,2.0,2.0,2.0,1.5,0,1.5,2.0
Shigella_flexneri,2.5,2.5,3.0,2.0,2.5,4.0,1.0,2.5,2.5,2.5,2.5,2.0,1.5,0,2.5
Yersinia_pestis,3.0,3.0,3.5,2.5,3.0,4.5,1.5,3.0,3.0,3.0,3.0,2.5,2.0,2.5,0