Operon,Num_Orgs,Length,Total_ratio,Deletions_ratio,Total_Fusions_ratio,Splits_ratio,Duplicates_ratio,Inversions_ratio
astCADBE,19,5,-0.155,0.395,0.000,-0.610,-0.037,-0.655
atpIBEFHAGDC,36,9,-0.823,-0.098,0.000,-1.873,0.000,-1.295
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,36,8,-0.254,-0.798,-0.722,0.056,-2.532,0.292
caiTABCDE,25,6,0.532,-0.027,0.000,0.774,0.953,0.805
casABCDE12,3,7,-0.903,-0.573,0.000,-0.661,0.000,0.000
dicB-ydfDE-insD-intQ,2,5,0.333,0.344,0.000,0.255,0.828,0.497
fecABCDE,34,5,0.635,0.344,2.460,0.680,1.039,0.554
fucPIKUR,11,5,0.095,0.779,0.000,-0.351,-0.877,-0.514
gatYZABCD,4,6,-0.977,-1.330,0.000,-0.320,0.000,0.000
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,11,8,0.294,0.620,0.000,0.108,-1.347,0.333
glcDEFGBA,19,6,0.422,0.370,1.640,0.489,0.004,0.549
hcaEFCBD,15,5,0.621,0.121,0.000,0.805,1.211,0.880
hisLGDCBHAFI,35,9,-0.824,-2.267,0.000,-0.410,-0.543,-0.573
hyaABCDEF,9,6,-0.689,0.056,0.000,-1.537,-0.858,0.000
hycABCDEFGHI,31,9,0.421,0.584,-0.706,0.264,1.083,-0.991
hyfABCDEFGHIJR-focB,31,12,0.521,0.249,1.461,0.559,0.949,0.207
hypABCDE-fhlA,11,6,0.026,0.056,0.000,0.054,-0.366,0.402
ivbL-ilvBN-uhpABC,32,6,0.192,-0.232,0.000,0.414,-0.047,0.769
livKHMGF,30,5,-0.383,0.238,0.000,-1.200,0.066,-1.112
lptAB-rpoN-hpf-ptsN-yhbJ-npr,36,7,-0.130,0.099,0.000,-0.055,-2.399,-0.314
lptD-surA-pdxA-rsmA-apaGH,32,6,-0.299,-0.771,0.000,0.085,0.000,0.290
lsrACDBFG-tam,31,7,0.535,0.887,1.191,0.117,0.695,0.124
mdtABCD-baeSR,34,6,0.341,-2.777,1.281,0.718,1.031,0.800
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp,35,8,-0.274,-0.055,0.000,-0.232,-0.712,-1.161
nsrR-rnr-rlmB-yjfIJ,22,5,0.318,0.687,0.000,0.255,0.000,0.584
nuoABCEFGHIJKLMN,31,13,-1.117,-1.212,0.000,-1.483,0.267,-3.342
paaABCDEFGHIJK,25,11,0.444,0.651,1.366,0.242,-0.694,0.351
pspABCDE,9,5,-0.660,0.226,0.000,-1.249,0.000,0.000
pstSCAB-phoU,34,5,-0.400,-0.138,0.000,-1.074,0.560,-0.544
rbsDACBKR,31,6,0.290,0.360,0.457,0.171,0.470,0.464
rnc-era-recO-pdxJ-acpS,33,5,-0.255,-0.445,0.000,0.160,0.000,-0.004
rplKAJL-rpoBC,36,6,-1.788,-3.528,0.308,-1.218,0.000,-1.700
sdhCDAB-sucABCD,36,8,-0.440,-0.407,0.000,-0.308,-2.532,-0.314
srlAEBD-gutM-srlR-gutQ,12,7,0.237,0.606,0.000,-0.102,0.086,0.092
ssuEADCB,33,5,0.281,0.908,0.000,-0.533,0.590,-0.227
tdcABCDEFG,16,7,0.652,-0.375,0.000,0.979,0.715,1.148
thrS-infC-rpmI-rplT-pheMST-ihfA,36,8,-0.560,-1.043,0.000,-0.193,0.000,-0.160
trpLEDCBA,35,6,-0.032,-2.401,0.000,0.150,1.151,0.408
ulaABCDEF,6,7,-0.903,-0.860,1.224,-1.354,-0.607,-1.007
waaQGP-rfaS-waaBIJY-rfaZ-waaK,14,9,0.395,1.161,0.089,-0.746,-1.013,-1.043
ybgIJKL-nei,16,5,0.073,-0.232,0.000,0.527,-1.251,0.210
yceD-rpmF-plsX-fabHDG-acpP-fabF,36,8,-0.498,-0.798,0.000,-0.308,-0.923,-0.160
ydgK-rsxABCDGE-nth,22,8,-0.148,0.366,0.000,-0.696,-0.941,-0.360
ydhYVWXUT,6,6,0.409,0.903,0.000,-0.215,-0.453,0.785
yiaKLMNO-lyxK-sgbHUE,24,9,0.325,0.636,-0.450,0.121,-0.858,0.210
yjeFE-amiB-mutL-miaA-hfq-hflXKC,33,9,-0.124,-1.292,0.000,0.268,-1.870,0.527